step,phase,t,speed_cmd,heading_cmd,x,y,heading,speed
0,speed_hold_out_0.01_t0,0.0,0.01,0.0,3.932228082703659e-06,5.841178062837571e-05,0.0,0.009411764331161976
1,speed_hold_out_0.01_t0,0.1,0.01,0.0,4.370274382381467e-06,6.154119182610884e-05,0.0,0.009411764331161976
2,speed_hold_out_0.01_t0,0.2,0.01,0.0,2.493045940354932e-06,0.00037416283157654107,0.0,0.009411764331161976
3,speed_hold_out_0.01_t0,0.30000000000000004,0.01,0.0,7.0308055910572875e-06,-0.0002882044354919344,0.0,0.009411764331161976
4,speed_hold_out_0.01_t0,0.4,0.01,0.0,-4.618996899807826e-05,0.001634059939533472,0.0,0.009411764331161976
5,speed_hold_out_0.01_t0,0.5,0.01,0.0,-0.0005116262473165989,0.015324532054364681,0.0,0.009411764331161976
6,speed_hold_out_0.01_t0,0.6000000000000001,0.01,0.0,-0.0010758356656879187,0.037763454020023346,0.0,0.009411764331161976
7,speed_hold_out_0.01_t0,0.7000000000000001,0.01,0.0,-0.0012374441139400005,0.05141708254814148,0.0,0.009411764331161976
8,speed_hold_out_0.01_t0,0.8,0.01,0.0,-0.0013582798419520259,0.07761041820049286,0.0,0.009411764331161976
9,speed_hold_out_0.01_t0,0.9,0.01,0.0,-0.002042606705799699,0.10693972557783127,0.0,0.009411764331161976
10,speed_hold_out_0.01_t0,1.0,0.01,0.0,-0.002373634371906519,0.12372385710477829,0.0,0.009411764331161976
11,speed_hold_out_0.01_t0,1.1,0.01,0.0,-0.0025538685731589794,0.17048990726470947,0.0,0.009411764331161976
12,speed_zero_out_0.01_t0,1.2000000000000002,0.0,0.0,-0.002787309931591153,0.18749283254146576,0.0,0.0
13,speed_zero_out_0.01_t0,1.3,0.0,0.0,-0.003069191938266158,0.21356098353862762,0.0,0.0
14,speed_zero_out_0.01_t0,1.4000000000000001,0.0,0.0,-0.0028360760770738125,0.22227877378463745,0.0,0.0
15,speed_zero_out_0.01_t0,1.5,0.0,0.0,-0.0027678527403622866,0.23242175579071045,0.0,0.0
16,speed_zero_out_0.01_t0,1.6,0.0,0.0,-0.0030928412452340126,0.2408527135848999,0.0,0.0
17,speed_zero_out_0.01_t0,1.7000000000000002,0.0,0.0,-0.003498182399198413,0.24512653052806854,0.0,0.0
18,speed_zero_out_0.01_t0,1.8,0.0,0.0,-0.0038510828744620085,0.23798252642154694,0.0,0.0
19,speed_zero_out_0.01_t0,1.9000000000000001,0.0,0.0,-0.00385482469573617,0.24391941726207733,0.0,0.0
20,speed_zero_out_0.01_t0,2.0,0.0,0.0,-0.004120786674320698,0.24632206559181213,0.0,0.0
21,speed_zero_out_0.01_t0,2.1,0.0,0.0,-0.004416234325617552,0.24057863652706146,0.0,0.0
22,speed_zero_out_0.01_t0,2.2,0.0,0.0,-0.004391313996165991,0.2451002448797226,0.0,0.0
23,speed_zero_out_0.01_t0,2.3000000000000003,0.0,0.0,-0.004114242270588875,0.2495122104883194,0.0,0.0
24,speed_zero_out_0.01_t0,2.4000000000000004,0.0,0.0,-0.00484610628336668,0.24167388677597046,0.0,0.0
25,speed_zero_out_0.01_t0,2.5,0.0,0.0,-0.004956157878041267,0.2410471886396408,0.0,0.0
26,speed_zero_out_0.01_t0,2.6,0.0,0.0,-0.004485508427023888,0.24997390806674957,0.0,0.0
27,speed_zero_out_0.01_t0,2.7,0.0,0.0,-0.004835333675146103,0.2477869987487793,0.0,0.0
28,speed_zero_out_0.01_t0,2.8000000000000003,0.0,0.0,-0.005264908540993929,0.24196013808250427,0.0,0.0
29,speed_zero_out_0.01_t0,2.9000000000000004,0.0,0.0,-0.004699374549090862,0.2502111494541168,0.0,0.0
