est_x,est_y,odom_x,odom_y,gt_x,gt_y,cov_x,cov_y,cov_xy,cov_yx,heading_cmd,speed_cmd,heading,speed,setpoint_x,setpoint_y
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5,-0.5,-0.5,-0.5,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.5000020265579224,-0.44567540287971497,-0.5000020265579224,-0.44567540287971497,nan,nan,nan,nan,-3.704291157191619e-05,0.030001908540725708,-3.704291157191619e-05,0.024692999199032784,0.5,0.5
nan,nan,-0.5000050663948059,-0.39880234003067017,-0.5000050663948059,-0.39880234003067017,nan,nan,nan,nan,-6.533815030707046e-05,0.02130594477057457,-6.533815030707046e-05,0.02130594477057457,0.5,0.5
nan,nan,-0.5000115633010864,-0.3564678430557251,-0.5000115633010864,-0.3564678430557251,nan,nan,nan,nan,-0.00015352992340922356,0.019242949783802032,-0.00015352992340922356,0.019242949783802032,0.5,0.5
nan,nan,-0.5000139474868774,-0.31871357560157776,-0.5000139474868774,-0.31871357560157776,nan,nan,nan,nan,-6.275273335631937e-05,0.01716102473437786,-6.275273335631937e-05,0.01716102473437786,0.5,0.5
nan,nan,-0.5000120997428894,-0.284955769777298,-0.5000120997428894,-0.284955769777298,nan,nan,nan,nan,5.537695687962696e-05,0.015344452112913132,5.537695687962696e-05,0.015344452112913132,0.5,0.5
nan,nan,-0.500011682510376,-0.25476205348968506,-0.500011682510376,-0.25476205348968506,nan,nan,nan,nan,1.4615794498240575e-05,0.01372441928833723,1.4615794498240575e-05,0.01372441928833723,0.5,0.5
nan,nan,-0.5000088214874268,-0.22778883576393127,-0.5000088214874268,-0.22778883576393127,nan,nan,nan,nan,0.00010590375313768163,0.012260553427040577,0.00010590375313768163,0.012260553427040577,0.5,0.5
nan,nan,-0.5000091195106506,-0.2036564201116562,-0.5000091195106506,-0.2036564201116562,nan,nan,nan,nan,-1.1317719327053055e-05,0.010969281196594238,-1.1317719327053055e-05,0.010969281196594238,0.5,0.5
nan,nan,-0.5000098347663879,-0.18207809329032898,-0.5000098347663879,-0.18207809329032898,nan,nan,nan,nan,-3.1928873795550317e-05,0.009808328934013844,-3.1928873795550317e-05,0.009808328934013844,0.5,0.5
nan,nan,-0.5000138282775879,-0.16279074549674988,-0.5000138282775879,-0.16279074549674988,nan,nan,nan,nan,-0.00020830864377785474,0.008766976185142994,-0.00020830864377785474,0.008766976185142994,0.5,0.5
nan,nan,-0.5000197291374207,-0.1455487757921219,-0.5000197291374207,-0.1455487757921219,nan,nan,nan,nan,-0.0003412330988794565,0.007837260141968727,-0.0003412330988794565,0.007837260141968727,0.5,0.5
nan,nan,-0.5000221133232117,-0.13011138141155243,-0.5000221133232117,-0.13011138141155243,nan,nan,nan,nan,-0.00015614175936207175,0.007017000578343868,-0.00015614175936207175,0.007017000578343868,0.5,0.5
nan,nan,-0.500023365020752,-0.11632251739501953,-0.500023365020752,-0.11632251739501953,nan,nan,nan,nan,-9.28941517486237e-05,0.0062676649540662766,-9.28941517486237e-05,0.0062676649540662766,0.5,0.5
nan,nan,-0.5000233054161072,-0.10398732870817184,-0.5000233054161072,-0.10398732870817184,nan,nan,nan,nan,4.605795311363181e-06,0.005606904160231352,4.605795311363181e-06,0.005606904160231352,0.5,0.5
nan,nan,-0.5000219345092773,-0.09298930317163467,-0.5000219345092773,-0.09298930317163467,nan,nan,nan,nan,0.00012275608605705202,0.004999101627618074,0.00012275608605705202,0.004999101627618074,0.5,0.5
nan,nan,-0.5000231862068176,-0.08314443379640579,-0.5000231862068176,-0.08314443379640579,nan,nan,nan,nan,-0.00012456098920665681,0.004474942106753588,-0.00012456098920665681,0.004474942106753588,0.5,0.5
nan,nan,-0.5000229477882385,-0.07432184368371964,-0.5000229477882385,-0.07432184368371964,nan,nan,nan,nan,2.728007711993996e-05,0.004010269418358803,2.728007711993996e-05,0.004010269418358803,0.5,0.5
nan,nan,-0.5000190734863281,-0.0664573386311531,-0.5000190734863281,-0.0664573386311531,nan,nan,nan,nan,0.0004906498943455517,0.003574774134904146,0.0004906498943455517,0.003574774134904146,0.5,0.5
nan,nan,-0.5000201463699341,-0.059418607503175735,-0.5000201463699341,-0.059418607503175735,nan,nan,nan,nan,-0.0001485080283600837,0.0031994229648262262,-0.0001485080283600837,0.0031994229648262262,0.5,0.5
nan,nan,-0.5000201463699341,-0.05312151461839676,-0.5000201463699341,-0.05312151461839676,nan,nan,nan,nan,-2.1350847418943886e-06,0.002862315159291029,-2.1350847418943886e-06,0.002862315159291029,0.5,0.5
nan,nan,-0.5000213384628296,-0.04748830944299698,-0.5000213384628296,-0.04748830944299698,nan,nan,nan,nan,-0.00021384685533121228,0.0025605480186641216,-0.00021384685533121228,0.0025605480186641216,0.5,0.5
nan,nan,-0.5000202059745789,-0.04245994612574577,-0.5000202059745789,-0.04245994612574577,nan,nan,nan,nan,0.0002299430634593591,0.0022856201976537704,0.0002299430634593591,0.0022856201976537704,0.5,0.5
nan,nan,-0.500025749206543,-0.03795335069298744,-0.500025749206543,-0.03795335069298744,nan,nan,nan,nan,-0.0012263517128303647,0.0020484544802457094,-0.0012263517128303647,0.0020484544802457094,0.5,0.5
nan,nan,-0.5000271201133728,-0.03392522782087326,-0.5000271201133728,-0.03392522782087326,nan,nan,nan,nan,-0.000339736754540354,0.0018309656297788024,-0.000339736754540354,0.0018309656297788024,0.5,0.5
nan,nan,-0.5000292658805847,-0.030326418578624725,-0.5000292658805847,-0.030326418578624725,nan,nan,nan,nan,-0.0006035189726389945,0.0016358225839212537,-0.0006035189726389945,0.0016358225839212537,0.5,0.5
nan,nan,-0.5000269412994385,-0.0271061472594738,-0.5000269412994385,-0.0271061472594738,nan,nan,nan,nan,0.0007127724238671362,0.0014637598069384694,0.0007127724238671362,0.0014637598069384694,0.5,0.5
nan,nan,-0.5000269412994385,-0.0271061472594738,-0.5000269412994385,-0.0271061472594738,nan,nan,nan,nan,0.0007127724238671362,0.0,0.0007127724238671362,0.0,0.5,0.5
nan,nan,-0.5000269412994385,-0.0271061472594738,-0.5000269412994385,-0.0271061472594738,nan,nan,nan,nan,0.0007127724238671362,0.0,0.0007127724238671362,0.0,0.5,0.5
nan,nan,-0.5000269412994385,-0.0271061472594738,-0.5000269412994385,-0.0271061472594738,nan,nan,nan,nan,0.0007127724238671362,0.0,0.0007127724238671362,0.0,0.5,0.5
nan,nan,-0.5000269412994385,-0.0271061472594738,-0.5000269412994385,-0.0271061472594738,nan,nan,nan,nan,0.0007127724238671362,0.0,0.0007127724238671362,0.0,0.5,0.5
nan,nan,-0.5000269412994385,-0.0271061472594738,-0.5000269412994385,-0.0271061472594738,nan,nan,nan,nan,0.0007127724238671362,0.0,0.0007127724238671362,0.0,0.5,0.5
nan,nan,-0.5000269412994385,-0.0271061472594738,-0.5000269412994385,-0.0271061472594738,nan,nan,nan,nan,0.0007127724238671362,0.0,0.0007127724238671362,0.0,0.5,0.5
nan,nan,-0.5000269412994385,-0.0271061472594738,-0.5000269412994385,-0.0271061472594738,nan,nan,nan,nan,0.0007127724238671362,0.0,0.0007127724238671362,0.0,0.5,0.5
nan,nan,-0.5000269412994385,-0.0271061472594738,-0.5000269412994385,-0.0271061472594738,nan,nan,nan,nan,0.0007127724238671362,0.0,0.0007127724238671362,0.0,0.5,0.5
nan,nan,-0.5000269412994385,-0.0271061472594738,-0.5000269412994385,-0.0271061472594738,nan,nan,nan,nan,0.0007127724238671362,0.0,0.0007127724238671362,0.0,0.5,0.5
nan,nan,-0.5000269412994385,-0.0271061472594738,-0.5000269412994385,-0.0271061472594738,nan,nan,nan,nan,0.0007127724238671362,0.0,0.0007127724238671362,0.0,0.5,0.5
nan,nan,-0.46802768111228943,-0.018247216939926147,-0.46802768111228943,-0.018247216939926147,nan,nan,nan,nan,1.462547779083252,0.015092226676642895,1.3007128238677979,0.015092226676642895,0.5,0.5
nan,nan,-0.4464125335216522,-0.016432782635092735,-0.4464125335216522,-0.016432782635092735,nan,nan,nan,nan,1.48704993724823,0.00985962525010109,1.48704993724823,0.00985962525010109,0.5,0.5
nan,nan,-0.4252300560474396,-0.014654486440122128,-0.4252300560474396,-0.014654486440122128,nan,nan,nan,nan,1.4870414733886719,0.009662271477282047,1.4870414733886719,0.009662271477282047,0.5,0.5
nan,nan,-0.4067642092704773,-0.013102768920361996,-0.4067642092704773,-0.013102768920361996,nan,nan,nan,nan,1.4869614839553833,0.008423144929111004,1.4869614839553833,0.008423144929111004,0.5,0.5
nan,nan,-0.3901418149471283,-0.011711184866726398,-0.3901418149471283,-0.011711184866726398,nan,nan,nan,nan,1.4872736930847168,0.007582065649330616,1.4872736930847168,0.007582065649330616,0.5,0.5
nan,nan,-0.3753000795841217,-0.01046881265938282,-0.3753000795841217,-0.01046881265938282,nan,nan,nan,nan,1.4872829914093018,0.006769838277250528,1.4872829914093018,0.006769838277250528,0.5,0.5
