est_x,est_y,odom_x,odom_y,gt_x,gt_y,cov_x,cov_y,cov_xy,cov_yx,heading_cmd,speed_cmd,heading,speed,setpoint_x,setpoint_y
nan,nan,1.0906718671321869e-05,8.603387686889619e-05,1.0906718671321869e-05,8.603387686889619e-05,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,1.2176951713627204e-05,8.811969019006938e-05,1.2176951713627204e-05,8.811969019006938e-05,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,1.3165914424462244e-05,9.420872811460868e-05,1.3165914424462244e-05,9.420872811460868e-05,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,1.3554331417253707e-05,9.526967915007845e-05,1.3554331417253707e-05,9.526967915007845e-05,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,1.4768044820812065e-05,0.00010225595178781077,1.4768044820812065e-05,0.00010225595178781077,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,1.5693041859776713e-05,0.0001030566927511245,1.5693041859776713e-05,0.0001030566927511245,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,1.69885406648973e-05,0.00011178790737176314,1.69885406648973e-05,0.00011178790737176314,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,1.7012824173434637e-05,0.00011508307215990499,1.7012824173434637e-05,0.00011508307215990499,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,1.810299545468297e-05,0.00011633232497842982,1.810299545468297e-05,0.00011633232497842982,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,1.8385035218670964e-05,0.00011743891082005575,1.8385035218670964e-05,0.00011743891082005575,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,1.79027920239605e-05,0.0001136486025643535,1.79027920239605e-05,0.0001136486025643535,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,1.8382816051598638e-05,0.00011356055620126426,1.8382816051598638e-05,0.00011356055620126426,nan,nan,nan,nan,0.0,0.15000000596046448,0.0,0.15000000596046448,0.5,0.5
nan,nan,1.0239451512461528e-05,0.0012192863505333662,1.0239451512461528e-05,0.0012192863505333662,nan,nan,nan,nan,0.0,0.15000000596046448,0.0,0.15000000596046448,0.5,0.5
nan,nan,-0.0034007795620709658,0.06824231147766113,-0.0034007795620709658,0.06824231147766113,nan,nan,nan,nan,0.0,0.15000000596046448,0.0,0.15000000596046448,0.5,0.5
nan,nan,-0.004984875209629536,0.1087830439209938,-0.004984875209629536,0.1087830439209938,nan,nan,nan,nan,0.0,0.15000000596046448,0.0,0.15000000596046448,0.5,0.5
nan,nan,-0.008730343542993069,0.27149340510368347,-0.008730343542993069,0.27149340510368347,nan,nan,nan,nan,0.0,0.15000000596046448,0.0,0.15000000596046448,0.5,0.5
nan,nan,-0.012596484273672104,0.3864215910434723,-0.012596484273672104,0.3864215910434723,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.021031007170677185,0.6166914701461792,-0.021031007170677185,0.6166914701461792,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.04802530258893967,0.8140184283256531,-0.04802530258893967,0.8140184283256531,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.055277954787015915,0.9442340731620789,-0.055277954787015915,0.9442340731620789,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.05341744422912598,1.006856918334961,-0.05341744422912598,1.006856918334961,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.05360414460301399,1.0233922004699707,-0.05360414460301399,1.0233922004699707,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.05358629673719406,1.024457573890686,-0.05358629673719406,1.024457573890686,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.05358992516994476,1.0251755714416504,-0.05358992516994476,1.0251755714416504,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.05359277129173279,1.0256741046905518,-0.05359277129173279,1.0256741046905518,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.05359413102269173,1.0260337591171265,-0.05359413102269173,1.0260337591171265,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.05359521508216858,1.0263127088546753,-0.05359521508216858,1.0263127088546753,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
nan,nan,-0.053595952689647675,1.0265591144561768,-0.053595952689647675,1.0265591144561768,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
