odom_x,odom_y
0.0,0.0
-0.0009226323454640806,0.06749434024095535
-0.0008697049925103784,0.11524099856615067
-0.0006603512447327375,0.26118311285972595
-0.003499737475067377,0.3903380334377289
-0.011809289455413818,0.7456756830215454
-0.021213816478848457,1.2127714157104492
-0.02220185101032257,1.4724541902542114
-0.02210015244781971,1.743393898010254
-0.016817566007375717,2.2836086750030518
-0.008723546750843525,2.8159372806549072
-0.0042175063863396645,3.0771896839141846
-0.003953688312321901,3.4677045345306396
-0.01741839572787285,3.6105868816375732
-0.02291850559413433,3.6513609886169434
